Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"Honda Dio 20197,200 kmColombo, MotorbikesRs 510,00054 days",https://ikman.lk/en/ad/honda-dio-good-condition-2019-for-sale-colombo,Honda Dio 2019,"Posted on 19 Jan 1:00 am, Colombo 8, Colombo",Scooters,Honda,Dio,Dio,2019,"7,200 km",DIMAL JAYASURIYA,110 cc,"510,000"
"Honda Dio 201919,749 kmMatale, MotorbikesRs 515,00028 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-matale-130,Honda Dio 2019,"Posted on 23 Feb 2:33 am, Galewela, Matale",Scooters,Honda,Dio,Dio,2019,"19,749 km",Dimasha Nirmal,110 cc,"515,000"
"Honda Dio 201916,000 kmMatara, MotorbikesRs 490,00037 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-matara-257,Honda Dio 2019,"Posted on 05 Feb 9:08 am, Weligama, Matara",Scooters,Honda,dio,Dio,2019,"16,000 km",Gayan Pg,110 cc,"490,000"
"Honda Dio 201913,000 kmBadulla, MotorbikesRs 475,00057 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-badulla-59,Honda Dio 2019,"Posted on 15 Jan 9:37 pm, Badulla City, Badulla",Scooters,Honda,,Dio,2019,"13,000 km",Hameem,110 cc,"475,000"
"Honda Dio 201920,000 kmMEMBERKandy, MotorbikesRs 140,00035 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kandy-442,Honda Dio 2019,"Posted on 28 Feb 3:04 pm, Kandy City, Kandy",Scooters,Honda,Honda DIO,Dio,2019,"20,000 km",HAMJAD MOTORS,110 cc,"140,000"
"Honda Dio 201921,000 kmMEMBERKandy, MotorbikesRs 140,00035 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kandy-443,Honda Dio 2019,"Posted on 28 Feb 3:04 pm, Kandy City, Kandy",Scooters,Honda,Honda DIO 2019,Dio,2019,"21,000 km",HAMJAD MOTORS,110 cc,"140,000"
"Honda Dio 201923,000 kmMEMBERKandy, MotorbikesRs 140,00048 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kandy-439,Honda Dio 2019,"Posted on 28 Feb 3:04 pm, Kandy City, Kandy",Scooters,Honda,,Dio,2019,"23,000 km",HAMJAD MOTORS,110 cc,"140,000"
"Honda Dio 201918,000 kmGalle, MotorbikesRs 510,00030 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-galle-308,Honda Dio 2019,"Posted on 05 Mar 11:32 pm, Galle City, Galle",Scooters,Honda,,Dio,2019,"18,000 km",Hansana,110 cc,"510,000"
"Honda Dio 201918,000 kmColombo, MotorbikesRs 510,00026 days",https://ikman.lk/en/ad/honda-dio-110-2019-for-sale-colombo-138,Honda Dio 2019,"Posted on 16 Feb 5:52 pm, Kesbewa, Colombo",Scooters,Honda,2019,Dio,2019,"18,000 km",Hs Shiwanthi,110 cc,"510,000"
"Honda Dio 201920,000 kmColombo, MotorbikesRs 580,00053 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1732,Honda Dio 2019,"Posted on 19 Jan 8:29 pm, Nugegoda, Colombo",Scooters,Honda,,Dio,2019,"20,000 km",Joel Ebineson,110 cc,"580,000"
"Honda Dio 201919,000 kmGampaha, MotorbikesRs 487,00047 days",https://ikman.lk/en/ad/honda-dio-smart-key-2019-for-sale-gampaha-11,Honda Dio 2019,"Posted on 26 Jan 9:59 am, Kandana, Gampaha",Scooters,Honda,2019,Dio,2019,"19,000 km",Kanchana Tissera,110 cc,"487,000"
"Honda Dio 201940,000 kmGalle, MotorbikesRs 510,00037 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-galle-306,Honda Dio 2019,"Posted on 05 Feb 3:44 am, Galle City, Galle",Scooters,Honda,2019,Dio,2019,"40,000 km",Kushan CN,110 cc,"510,000"
"Honda Dio 20199,000 kmMEMBERGampaha, MotorbikesRs 155,00049 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-gampaha-1236,Honda Dio 2019,"Posted on 09 Mar 4:29 pm, Katunayake, Gampaha",Scooters,Honda,2019,Dio,2019,"9,000 km",M A Motors,110 cc,"155,000"
"Honda Dio 201938,000 kmGalle, MotorbikesRs 470,00026 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-galle-310,Honda Dio 2019,"Posted on 15 Feb 9:37 pm, Galle City, Galle",Scooters,Honda,Honda Dio,Dio,2019,"38,000 km",Madhuwantha,110 cc,"470,000"
"Honda Dio 201927,000 kmMEMBERColombo, MotorbikesRs 495,00041 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1744,Honda Dio 2019,"Posted on 24 Feb 11:32 am, Piliyandala, Colombo",Scooters,Honda,,Dio,2019,"27,000 km",Minu Warsha Motors,110 cc,"495,000"
"Honda Dio 20197,709 kmMEMBERColombo, MotorbikesRs 115,50041 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1745,Honda Dio 2019,"Posted on 02 Feb 10:33 am, Kottawa, Colombo",Scooters,Honda,2019,Dio,2019,"7,709 km",Minu Warsha Motors,110 cc,"115,500"
"Honda Dio 20198,000 kmMEMBERColombo, MotorbikesRs 485,00044 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1742,Honda Dio 2019,"Posted on 24 Feb 11:34 am, Piliyandala, Colombo",Scooters,Honda,,Dio,2019,"8,000 km",Minu Warsha Motors,110 cc,"485,000"
"Honda Dio 20198,000 kmMEMBERColombo, MotorbikesRs 485,00044 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1743,Honda Dio 2019,"Posted on 24 Feb 11:35 am, Piliyandala, Colombo",Scooters,Honda,,Dio,2019,"8,000 km",Minu Warsha Motors,110 cc,"485,000"
"Honda Dio 201910,600 kmColombo, MotorbikesRs 510,00037 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1749,Honda Dio 2019,"Posted on 05 Feb 3:54 pm, Colombo 12, Colombo",Scooters,Honda,Dio 2019,Dio,2019,"10,600 km",Mohammed Murshid,110 cc,"510,000"
"Honda Dio 201917,000 kmGalle, MotorbikesRs 465,00044 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-galle-300,Honda Dio 2019,"Posted on 28 Jan 7:09 pm, Hikkaduwa, Galle",Scooters,Honda,2019,Dio,2019,"17,000 km",Nalaka Nalaka,110 cc,"465,000"
"Honda Dio 201932,000 kmGampaha, MotorbikesRs 520,00039 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-gampaha-1250,Honda Dio 2019,"Posted on 07 Feb 3:48 am, Negombo, Gampaha",Scooters,Honda,,Dio,2019,"32,000 km",Navod,110 cc,"520,000"
"Honda Dio 201918,000 kmMEMBERColombo, MotorbikesRs 470,00045 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1739,Honda Dio 2019,"Posted on 28 Jan 7:18 am, Piliyandala, Colombo",Scooters,Honda,Honda,Dio,2019,"18,000 km",Piliyandala Bike Centre,110 cc,"470,000"
"Honda Dio 201923,000 kmMEMBERColombo, MotorbikesRs 460,00045 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1740,Honda Dio 2019,"Posted on 28 Jan 7:33 am, Piliyandala, Colombo",Scooters,Honda,2019,Dio,2019,"23,000 km",Piliyandala Bike Centre,110 cc,"460,000"
"Honda Dio 201924,000 kmMEMBERColombo, MotorbikesRs 450,00045 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1741,Honda Dio 2019,"Posted on 28 Jan 7:34 am, Piliyandala, Colombo",Scooters,Honda,2019,Dio,2019,"24,000 km",Piliyandala Bike Centre,110 cc,"450,000"
"Honda Dio 201948,007 kmMEMBERPolonnaruwa, MotorbikesRs 510,00025 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-polonnaruwa-49,Honda Dio 2019,"Posted on 24 Feb 12:13 pm, Polonnaruwa City, Polonnaruwa",Scooters,Honda,dio,Dio,2019,"48,007 km",PLS Motors & Credit (Pvt) Ltd,110 cc,"510,000"
"Honda Dio 201910,000 kmMEMBERKalutara, MotorbikesRs 117,00059 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kalutara-422,Honda Dio 2019,"Posted on 23 Feb 1:53 pm, Bandaragama, Kalutara",Scooters,Honda,2019,Dio,2019,"10,000 km",Ranjaya Traders,110 cc,"117,000"
"Honda Dio 201923,000 kmMEMBERKalutara, MotorbikesRs 120,00043 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kalutara-427,Honda Dio 2019,"Posted on 23 Feb 2:07 pm, Bandaragama, Kalutara",Scooters,Honda,Honda,Dio,2019,"23,000 km",Ranjaya Traders,110 cc,"120,000"
"Honda Dio 201916,858 kmMEMBERColombo, MotorbikesRs 95,00034 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1751,Honda Dio 2019,"Posted on 28 Feb 2:44 pm, Boralesgamuwa, Colombo",Scooters,Honda,honda 2019,Dio,2019,"16,858 km",Ranul Motors,110 cc,"95,000"
"Honda Dio 20195,636 kmMEMBERColombo, MotorbikesRs 120,00024 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1769,Honda Dio 2019,"Posted on 18 Feb 4:30 pm, Boralesgamuwa, Colombo",Scooters,Honda,Honda,Dio,2019,"5,636 km",Ranul Motors,110 cc,"120,000"
"Honda Dio 20197,100 kmMEMBERColombo, MotorbikesRs 120,00060 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1729,Honda Dio 2019,"Posted on 28 Feb 2:44 pm, Boralesgamuwa, Colombo",Scooters,Honda,honda 2019,Dio,2019,"7,100 km",Ranul Motors,110 cc,"120,000"
"Honda Dio 20197,100 kmMEMBERColombo, MotorbikesRs 125,00060 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1730,Honda Dio 2019,"Posted on 28 Feb 2:44 pm, Boralesgamuwa, Colombo",Scooters,Honda,honda 2019,Dio,2019,"7,100 km",Ranul Motors,110 cc,"125,000"
"Honda Dio 20198,858 kmMEMBERColombo, MotorbikesRs 115,00027 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1764,Honda Dio 2019,"Posted on 15 Feb 11:32 am, Boralesgamuwa, Colombo",Scooters,Honda,honda,Dio,2019,"8,858 km",Ranul Motors,110 cc,"115,000"
"Honda Dio 201920,000 kmColombo, MotorbikesRs 470,00047 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1737,Honda Dio 2019,"Posted on 26 Jan 12:45 pm, Piliyandala, Colombo",Scooters,Honda,2019,Dio,2019,"20,000 km",ravi rox,110 cc,"470,000"
"Honda Dio 201923,401 kmAUTH AGENTJaffna, MotorbikesRs 470,00040 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-jaffna-61,Honda Dio 2019,"Posted on 04 Feb 5:23 pm, Jaffna City, Jaffna",Scooters,Honda,2019,Dio,2019,"23,401 km",Riyasakwala,110 cc,"470,000"
"Honda Dio 201925,600 kmRatnapura, MotorbikesRs 455,00049 days",https://ikman.lk/en/ad/honda-dio-edition-2019-for-sale-ratnapura,Honda Dio 2019,"Posted on 25 Jan 9:07 am, Embilipitiya, Ratnapura",Scooters,Honda,Honda,Dio,2019,"25,600 km",Roshan Kalum,110 cc,"455,000"
"Honda Dio 201917,097 kmAnuradhapura, MotorbikesRs 100,00042 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-anuradhapura-160,Honda Dio 2019,"Posted on 05 Feb 7:44 pm, Talawa, Anuradhapura",Scooters,Honda,,Dio,2019,"17,097 km",Rukmal Kumara,110 cc,"100,000"
"Honda Dio 201942,673 kmKurunegala, MotorbikesRs 530,00033 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kurunegala-509,Honda Dio 2019,"Posted on 09 Feb 2:52 pm, Kurunegala City, Kurunegala",Scooters,Honda,,Dio,2019,"42,673 km",Rukshan Ranathunga,110 cc,"530,000"
"Honda Dio 201928,116 kmKurunegala, MotorbikesRs 500,00058 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kurunegala-496,Honda Dio 2019,"Posted on 15 Jan 10:29 am, Nikaweratiya, Kurunegala",Scooters,Honda,,Dio,2019,"28,116 km",Sagarika Wasana,110 cc,"500,000"
"Honda Dio 201930,000 kmKurunegala, MotorbikesRs 530,00044 days",https://ikman.lk/en/ad/honda-dio-bike-2019-for-sale-kurunegala-2,Honda Dio 2019,"Posted on 29 Jan 12:59 pm, Kuliyapitiya, Kurunegala",Scooters,Honda,Honda,Dio,2019,"30,000 km",Sajith Ishan,110 cc,"530,000"
"Honda Dio 201920,000 kmKurunegala, MotorbikesRs 510,00025 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kurunegala-516,Honda Dio 2019,"Posted on 18 Feb 2:19 pm, Narammala, Kurunegala",Scooters,Honda,,Dio,2019,"20,000 km",Sameera Madusanka,110 cc,"510,000"
"Honda Dio 201910,000 kmGampaha, MotorbikesRs 510,00033 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-gampaha-1259,Honda Dio 2019,"Posted on 08 Feb 7:48 pm, Kadawatha, Gampaha",Scooters,Honda,2019,Dio,2019,"10,000 km",Sandas Sasalanka,110 cc,"510,000"
"Honda Dio 20198,608 kmColombo, MotorbikesRs 520,00032 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1753,Honda Dio 2019,"Posted on 09 Feb 10:55 pm, Talawatugoda, Colombo",Scooters,Honda,Honda,Dio,2019,"8,608 km",Sandun Chamara,110 cc,"520,000"
"Honda Dio 201942,000 kmGampaha, MotorbikesRs 445,00035 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-gampaha-1254,Honda Dio 2019,"Posted on 07 Feb 12:41 pm, Ja-Ela, Gampaha",Scooters,Honda,Honda Dio,Dio,2019,"42,000 km",Sell Fast | Ja Ela | L.S.N Communication,110 cc,"445,000"
"Honda Dio 201929,000 kmGampaha, MotorbikesRs 465,00058 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-gampaha-1224,Honda Dio 2019,"Posted on 23 Feb 9:03 am, Divulapitiya, Gampaha",Scooters,Honda,Dio,Dio,2019,"29,000 km",Sell fast | Supiri Sampath Studio,110 cc,"465,000"
"Honda Dio 201937,000 kmKurunegala, MotorbikesRs 478,00023 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kurunegala-519,Honda Dio 2019,"Posted on 19 Feb 1:29 pm, Pannala, Kurunegala",Scooters,Honda,,Dio,2019,"37,000 km",Sellfast | Atabe | Thilini Ads,110 cc,"478,000"
"Honda Dio 201916,000 kmHambantota, MotorbikesRs 215,00057 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-hambantota-178,Honda Dio 2019,"Posted on 13 Mar 12:35 pm, Hambantota City, Hambantota",Scooters,Honda,,Dio,2019,"16,000 km",SellFast | Harsha Com and Phone shop,110 cc,"215,000"
"Honda Dio 201928,182 kmColombo, MotorbikesRs 490,00027 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1765,Honda Dio 2019,"Posted on 15 Feb 9:06 pm, Kaduwela, Colombo",Scooters,Honda,2019,Dio,2019,"28,182 km",Shehan Malisha,110 cc,"490,000"
"Honda Dio 201912,000 kmKurunegala, MotorbikesRs 430,00057 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kurunegala-497,Honda Dio 2019,"Posted on 15 Jan 11:45 pm, Kurunegala City, Kurunegala",Scooters,Honda,,Dio,2019,"12,000 km",Sujeewa Madhusanka,110 cc,"430,000"
"Honda Dio 20195,000 kmGampaha, MotorbikesRs 515,00027 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-gampaha-1269,Honda Dio 2019,"Posted on 15 Feb 2:42 pm, Gampaha City, Gampaha",Scooters,Honda,honda dio 2019,Dio,2019,"5,000 km",Terans Aruna,110 cc,"515,000"
"Honda Dio 201930,000 kmKandy, MotorbikesRs 482,00026 days",https://ikman.lk/en/ad/honda-dio-dx-2019-for-sale-kandy-60,Honda Dio 2019,"Posted on 16 Feb 6:13 pm, Kandy City, Kandy",Scooters,Honda,2019,Dio,2019,"30,000 km",Tharindu Nk,110 cc,"482,000"
"Honda Dio 201940,000 kmGalle, MotorbikesRs 510,00037 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-galle-305,Honda Dio 2019,"Posted on 05 Feb 3:35 am, Galle City, Galle",Scooters,Honda,,Dio,2019,"40,000 km",Vix Bro,110 cc,"510,000"
"Honda Dio 201915,000 kmKegalle, MotorbikesRs 495,00046 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-kegalle-88,Honda Dio 2019,"Posted on 08 Feb 12:12 pm, Warakapola, Kegalle",Scooters,Honda,Honda,Dio,2019,"15,000 km",Mohamed Farhan,120 cc,"495,000"
"Honda Dio 201918,000 kmColombo, MotorbikesRs 460,00059 days",https://ikman.lk/en/ad/honda-dio-2019-for-sale-colombo-1731,Honda Dio 2019,"Posted on 17 Jan 10:05 am, Piliyandala, Colombo",Scooters,Honda,Dio,Dio,2019,"18,000 km",Munowfar Hasan,120 cc,"460,000"
"Honda Dio 2019 onlight34,700 kmMatale, MotorbikesRs 475,00056 days",https://ikman.lk/en/ad/honda-dio-2019-onlight-for-sale-matale,Honda Dio 2019 onlight,"Posted on 16 Jan 11:34 am, Dambulla, Matale",Scooters,Honda,dio 2019 onlight,Dio,2019,"34,700 km",Thilanka Prabath,110 cc,"475,000"
"Honda Dio 2019 Red20,000 kmKandy, MotorbikesRs 450,00027 days",https://ikman.lk/en/ad/honda-dio-2019-red-for-sale-kandy-1,Honda Dio 2019 Red,"Posted on 15 Feb 11:37 am, Peradeniya, Kandy",Scooters,Honda,Honda Dio 2019 Red,Dio,2019,"20,000 km",Danush Danu,110 cc,"450,000"
"Honda Dio 202035,841 kmAnuradhapura, MotorbikesRs 490,00044 days",https://ikman.lk/en/ad/honda-dio-supiri-2020-for-sale-anuradhapura,Honda Dio 2020,"Posted on 28 Jan 6:36 pm, Kekirawa, Anuradhapura",Scooters,Honda,honda,Dio,2020,"35,841 km",Nidharshan Nidharshan,100 cc,"490,000"
"Honda Dio 20208,000 kmMEMBERGampaha, MotorbikesRs 150,00046 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-gampaha-353,Honda Dio 2020,"Posted on 09 Mar 4:29 pm, Katunayake, Gampaha",Scooters,Honda,2020,Dio,2020,"8,000 km",M A Motors,110 cc,"150,000"
"Honda Dio 20204,100 kmGampaha, MotorbikesRs 500,00041 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-gampaha-342,Honda Dio 2020,"Posted on 31 Jan 5:13 pm, Minuwangoda, Gampaha",Scooters,Honda,,Dio,2020,"4,100 km",nalindra,110 cc,"500,000"
"Honda Dio 20207,100 kmMEMBERColombo, MotorbikesRs 485,00044 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-colombo-371,Honda Dio 2020,"Posted on 31 Jan 1:12 pm, Boralesgamuwa, Colombo",Scooters,Honda,honda,Dio,2020,"7,100 km",Ranul Motors,110 cc,"485,000"
"Honda Dio 20208,500 kmPuttalam, MotorbikesRs 560,00035 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-puttalam-53,Honda Dio 2020,"Posted on 21 Feb 1:22 pm, Puttalam City, Puttalam",Scooters,Honda,Honda Dio,Dio,2020,"8,500 km",Saara Safras,110 cc,"560,000"
"Honda Dio 20205,000 kmGampaha, MotorbikesRs 518,00052 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-gampaha-337,Honda Dio 2020,"Posted on 08 Feb 11:05 am, Ragama, Gampaha",Scooters,Honda,,Dio,2020,"5,000 km",Sell Fast | Mahara | aDZSoon Advertising,110 cc,"518,000"
"Honda Dio 20208,907 kmColombo, MotorbikesRs 515,00040 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-colombo-373,Honda Dio 2020,"Posted on 02 Feb 10:11 am, Avissawella, Colombo",Scooters,Honda,Honda Dio,Dio,2020,"8,907 km",Thilina,110 cc,"515,000"
"Honda Dio 202018,280 kmGalle, MotorbikesRs 540,00026 days",https://ikman.lk/en/ad/honda-dio-2020-for-sale-galle-54,Honda Dio 2020,"Posted on 17 Feb 9:01 am, Galle City, Galle",Scooters,Honda,,Dio,2020,"18,280 km",Janindu Madushan,125 cc,"540,000"
"Honda Dio 202012,000 kmAnuradhapura, MotorbikesRs 500,00053 days",https://ikman.lk/en/ad/honda-dio-good-2020-for-sale-anuradhapura,Honda Dio 2020,"Posted on 19 Jan 2:39 pm, Tambuttegama, Anuradhapura",Scooters,Honda,Honda Dio,Dio,2020,"12,000 km",Ajith kumara,135 cc,"500,000"
"Honda Dio 202239,000 kmGampaha, MotorbikesRs 200,00055 days",https://ikman.lk/en/ad/honda-dio-bda-2022-for-sale-gampaha,Honda Dio 2022,"Posted on 18 Jan 4:14 am, Ragama, Gampaha",Scooters,Honda,2022,Dio,2022,"39,000 km",pasindu,98 cc,"200,000"
"Honda Dio 50 Japanese 20197,852 kmMEMBERKurunegala, MotorbikesRs 240,00054 days",https://ikman.lk/en/ad/honda-dio-50-japanese-2019-for-sale-kurunegala,Honda Dio 50 Japanese 2019,"Posted on 28 Feb 12:02 pm, Kurunegala City, Kurunegala",Scooters,Honda,50 Japanese,Dio,2019,"7,852 km",Ranjith Japanese Motorcycles,50 cc,"240,000"
"Honda Dio Auto 201947,000 kmColombo, MotorbikesRs 495,00027 days",https://ikman.lk/en/ad/honda-dio-auto-2019-for-sale-colombo,Honda Dio Auto 2019,"Posted on 15 Feb 10:59 am, Kolonnawa, Colombo",Scooters,Honda,Auto,Dio,2019,"47,000 km",Abdur Rahman,110 cc,"495,000"
"Honda Dio BAV 201429,000 kmGalle, MotorbikesRs 355,00030 days",https://ikman.lk/en/ad/honda-dio-bav-2014-for-sale-galle,Honda Dio BAV 2014,"Posted on 14 Feb 3:06 pm, Elpitiya, Galle",Scooters,Honda,BAV,Dio,2014,"29,000 km",Chiranga Madumali,110 cc,"355,000"
"Honda Dio BCM Offlight 201513,000 kmMEMBERKalutara, MotorbikesRs 80,00053 days",https://ikman.lk/en/ad/honda-dio-bcm-offlight-2015-for-sale-kalutara,Honda Dio BCM Offlight 2015,"Posted on 23 Feb 1:53 pm, Bandaragama, Kalutara",Scooters,Honda,BCM Offlight,Dio,2015,"13,000 km",Ranjaya Traders,110 cc,"80,000"
"Honda Dio BCP 201623,600 kmMEMBERColombo, MotorbikesRs 365,00051 days",https://ikman.lk/en/ad/honda-dio-bcp-2016-for-sale-colombo,Honda Dio BCP 2016,"Posted on 25 Feb 10:11 am, Piliyandala, Colombo",Scooters,Honda,BCP,Dio,2016,"23,600 km",Piliyandala Bike Centre,110 cc,"365,000"
"Honda Dio Bcv100 201914,200 kmColombo, MotorbikesRs 580,00052 days",https://ikman.lk/en/ad/honda-dio-bcv100-2019-for-sale-colombo,Honda Dio Bcv100 2019,"Posted on 25 Jan 11:34 am, Nugegoda, Colombo",Scooters,Honda,Dio Bcv100,Dio,2019,"14,200 km",M A Kaveeth Marasinha,110 cc,"580,000"
"Honda Dio BDD 201619,000 kmMEMBERKalutara, MotorbikesRs 75,00033 days",https://ikman.lk/en/ad/honda-dio-bdd-2016-for-sale-kalutara-8,Honda Dio BDD 2016,"Posted on 23 Feb 1:53 pm, Bandaragama, Kalutara",Scooters,Honda,BDD,Dio,2016,"19,000 km",Ranjaya Traders,110 cc,"75,000"
"Honda Dio BDX 201611,685 kmKalutara, MotorbikesRs 395,00037 days",https://ikman.lk/en/ad/honda-dio-bdx-2016-for-sale-kalutara,Honda Dio BDX 2016,"Posted on 04 Feb 5:29 pm, Kalutara City, Kalutara",Scooters,Honda,BDX,Dio,2016,"11,685 km",Shani Wirasinghe,110 cc,"395,000"
"Honda Dio BEA 201635,000 kmGampaha, MotorbikesRs 385,00031 days",https://ikman.lk/en/ad/honda-dio-bea-2016-for-sale-gampaha-5,Honda Dio BEA 2016,"Posted on 11 Feb 7:09 pm, Negombo, Gampaha",Scooters,Honda,BEA,Dio,2016,"35,000 km",kanishka Aravinda,110 cc,"385,000"
"Honda Dio Bea 201714,000 kmMEMBERKalutara, MotorbikesRs 117,00041 days",https://ikman.lk/en/ad/honda-dio-bea-2017-for-sale-kalutara-10,Honda Dio Bea 2017,"Posted on 23 Feb 1:53 pm, Panadura, Kalutara",Scooters,Honda,Bea,Dio,2017,"14,000 km",Ranjaya Traders,110 cc,"117,000"
"Honda Dio BEH 201629,000 kmMEMBERKalutara, MotorbikesRs 110,00024 days",https://ikman.lk/en/ad/honda-dio-beh-2016-for-sale-kalutara-30,Honda Dio BEH 2016,"Posted on 23 Feb 2:07 pm, Bandaragama, Kalutara",Scooters,Honda,BEH,Dio,2016,"29,000 km",Ranjaya Traders,110 cc,"110,000"
"Honda Dio BEM 201611,000 kmMEMBERKalutara, MotorbikesRs 80,00033 days",https://ikman.lk/en/ad/honda-dio-bem-2016-for-sale-kalutara-19,Honda Dio BEM 2016,"Posted on 23 Feb 1:53 pm, Bandaragama, Kalutara",Scooters,Honda,BEM,Dio,2016,"11,000 km",Ranjaya Traders,110 cc,"80,000"
"Honda Dio BEO 201623,580 kmMEMBERColombo, MotorbikesRs 370,00051 days",https://ikman.lk/en/ad/honda-dio-beo-2016-for-sale-colombo,Honda Dio BEO 2016,"Posted on 25 Feb 10:11 am, Piliyandala, Colombo",Scooters,Honda,BEO,Dio,2016,"23,580 km",Piliyandala Bike Centre,110 cc,"370,000"
"Honda Dio BEQ Blue 20168,900 kmMEMBERKalutara, MotorbikesRs 75,000",https://ikman.lk/en/ad/honda-dio-beq-blue-2016-for-sale-kalutara-1,Honda Dio BEQ Blue 2016,"Posted on 18 Feb 2:21 pm, Bandaragama, Kalutara",Scooters,Honda,BEQ Blue,Dio,2016,"8,900 km",Ranjaya Traders,110 cc,"75,000"
"Honda Dio BFN 201711,900 kmMEMBERKalutara, MotorbikesRs 100,00032 days",https://ikman.lk/en/ad/honda-dio-bfn-2017-for-sale-kalutara-1,Honda Dio BFN 2017,"Posted on 23 Feb 1:54 pm, Bandaragama, Kalutara",Scooters,Honda,BFN,Dio,2017,"11,900 km",Ranjaya Traders,110 cc,"100,000"
"Honda Dio BFP onlight 201716,500 kmMEMBERKalutara, MotorbikesRs 100,00041 days",https://ikman.lk/en/ad/honda-dio-bfp-onlight-2017-for-sale-kalutara-2,Honda Dio BFP onlight 2017,"Posted on 23 Feb 1:53 pm, Bandaragama, Kalutara",Scooters,Honda,BFP onlight,Dio,2017,"16,500 km",Ranjaya Traders,110 cc,"100,000"
"Honda Dio BFS onlight 201711,000 kmMEMBERKalutara, MotorbikesRs 110,00059 days",https://ikman.lk/en/ad/honda-dio-bfs-onlight-2017-for-sale-kalutara,Honda Dio BFS onlight 2017,"Posted on 23 Feb 1:53 pm, Bandaragama, Kalutara",Scooters,Honda,BFS onlight,Dio,2017,"11,000 km",Ranjaya Traders,110 cc,"110,000"
"Honda Dio BFS onlight 201725,000 kmMEMBERKalutara, MotorbikesRs 120,00024 days",https://ikman.lk/en/ad/honda-dio-bfs-onlight-2017-for-sale-kalutara-2,Honda Dio BFS onlight 2017,"Posted on 23 Feb 2:07 pm, Bandaragama, Kalutara",Scooters,Honda,BFS onlight,Dio,2017,"25,000 km",Ranjaya Traders,110 cc,"120,000"
"Honda Dio BGD 201831,000 kmColombo, MotorbikesRs 495,00025 days",https://ikman.lk/en/ad/honda-dio-bgd-2018-for-sale-colombo,Honda Dio BGD 2018,"Posted on 22 Feb 1:07 pm, Kaduwela, Colombo",Scooters,Honda,BGD,Dio,2018,"31,000 km",Geethma Fernando,110 cc,"495,000"
